ID,Infection_status,lf_length,lf_width,stem_diameter_mm,fruit_width,fruit_length,transect_number,field_notes,Paired_data_plants,seed_count,seed_count_notes,Seed_count_real_or_predicted,pair_number
D051,Symptomatic,10.3,8.5,,NA,NA,51,,Yes,0,no fruit,Real,51
D052,Symptomatic,8.1,5.1,,NA,NA,51,,Yes,0,no fruit,Real,52
D053,Symptomatic,9.8,6.4,,6.4,10.1,51,,Yes,0,,Real,53
D056,Symptomatic,7.5,4.5,,NA,NA,56,,Yes,0,no fruit,Real,56
D062,Symptomatic,11.1,7.9,,1.3,3.9,62,,Yes,0,0,Real,62
D063,Symptomatic,9.2,6.2,,5.7,7.4,62,,Yes,13,13,Real,63
D065,Symptomatic,9.5,5.7,,NA,NA,65,,Yes,,gone rotten,Real,65
D066,Symptomatic,5.9,3.3,,NA,NA,66,,Yes,,everything but step & half a leaf gone,Real,66
D069,Symptomatic,7.5,5.7,,NA,NA,69,,Yes,0,no fruit,Real,69
D070,Symptomatic,7.5,5.3,,NA,NA,70,,Yes,0,no fruit,Real,70
D071,Symptomatic,7.7,3.7,,NA,NA,71,,Yes,0,no fruit,Real,71
D073,Symptomatic,8,4.8,,NA,NA,73,,Yes,0,no fruit,Real,73
D075,Symptomatic,8.3,5.2,,NA,NA,75,,Yes,,not relocated,Real,75
D076,Symptomatic,9.1,6.3,,NA,NA,76,,Yes,0,no fruit,Real,76
D077,Symptomatic,9.5,8.5,,6.3,8.5,77,,Yes,8,8,Real,77
D078,Symptomatic,12.2,7.4,,NA,NA,78,,Yes,0,no fruit,Real,78
D079,Symptomatic,14.8,10.7,,NA,NA,79,,Yes,0,no fruit,Real,79
D080,Symptomatic,13.5,8.5,,3.2,7.5,80,,Yes,0,0,Real,80
D081,Symptomatic,6.5,3.1,,NA,NA,80,,Yes,0,no fruit,Real,81
D092,Symptomatic,6.6,3.9,,4.1,5,36,,Yes,2,2,Real,92
D093,Symptomatic,5.3,4.4,,NA,NA,42,,Yes,,not relocated,Real,93
D094,Symptomatic,7,4.9,,NA,NA,40,,Yes,,not relocated,Real,94
D095,Symptomatic,8.7,5.8,,6.5,9.8,41,,Yes,18,18,Real,95
D096,Symptomatic,11.1,6.9,,NA,NA,16,,Yes,0,no fruit,Real,96
D097,Symptomatic,9.9,5.5,,NA,NA,16,,Yes,0,no fruit,Real,97
D098,Symptomatic,9.5,5.4,,NA,NA,16,,Yes,0,no fruit,Real,98
D099,Symptomatic,10.9,6.3,,2.9,7.3,16,,Yes,6,6,Real,99
D100,Symptomatic,8.1,5.5,,NA,NA,16,,Yes,0,no fruit,Real,100
D101,Symptomatic,10.2,7.1,,NA,NA,101,,Yes,0,no fruit,Real,101
D102,Symptomatic,13.7,10.2,,NA,NA,101,,Yes,,not relocated,Real,102
D103,Symptomatic,6,3,,NA,NA,101,,Yes,0,no fruit,Real,103
D104,Symptomatic,10.6,7,,6.2,8.1,20,,Yes,8,8,Real,104
D105,Symptomatic,9.7,5.1,,NA,NA,20,,Yes,,not relocated,Real,105
D106,Symptomatic,10.6,7.2,,5.8,7.3,20,,Yes,,NEED TO CALC FROM 100 SAMPLE,Real,106
D107,Symptomatic,6.8,4.3,,NA,NA,20,,Yes,0,no fruit,Real,107
D108,Symptomatic,5.8,2.8,,NA,NA,108,,Yes,0,no fruit,Real,108
D109,Symptomatic,11,6.8,,NA,NA,109,,Yes,0,no fruit,Real,109
D110,Symptomatic,10.2,7.4,,NA,NA,109,,Yes,0,no fruit,Real,110
D111,Symptomatic,9.1,5,,NA,NA,6,,Yes,0,no fruit,Real,111
D112,Symptomatic,10.8,6.4,,NA,NA,112,,Yes,0,no fruit,Real,112
D113,Symptomatic,11.4,6.8,,7.2,8.8,113,,Yes,26,26,Real,113
D114,Symptomatic,8.6,5.2,,7.6,11,114,,Yes,13,13,Real,114
D115,Symptomatic,11.6,8.1,,2.9,4.9,115,,Yes,0,0,Real,115
D116,Symptomatic,8.6,5.5,,7.3,9.4,116,,Yes,28,28,Real,116
D117,Symptomatic,10.1,5.8,,NA,NA,116,,Yes,0,no fruit,Real,117
D118,Symptomatic,10.9,6.4,,NA,NA,76,,Yes,0,no fruit,Real,118
D119,Symptomatic,6,3.1,,NA,NA,73,,Yes,0,no fruit,Real,119
D120,Symptomatic,7.6,4.4,,NA,NA,49,,Yes,,not relocated ,Real,120
D121,Symptomatic,5.6,2.7,,NA,NA,49,,Yes,0,no fruit,Real,121
D122,Symptomatic,6.4,3.3,,NA,NA,122,,Yes,0,no fruit,Real,122
D123,Symptomatic,5.4,4,,NA,NA,123,,Yes,0,no fruit,Real,123
D124,Symptomatic,10.2,6,,2,4,47,,Yes,0,0,Real,124
D125,Symptomatic,6.2,5,,NA,NA,125,,Yes,,not relocated,Real,125
D126,Symptomatic,8.2,5.4,,NA,NA,125,,Yes,,not relocated,Real,126
D127,Symptomatic,6.2,3.6,,NA,NA,69,,Yes,0,no fruit,Real,127
D128,Symptomatic,10.8,7,,3.4,7.2,69,,Yes,,NEED TO CALC FROM 100 SAMPLE,Real,128
D129,Symptomatic,5.6,3.2,,NA,NA,69,,Yes,0,no fruit,Real,129
D130,Symptomatic,7,3.8,,NA,NA,130,,Yes,0,no fruit,Real,130
D131,Symptomatic,4.8,3,,NA,NA,130,,Yes,0,no fruit,Real,131
D132,Symptomatic,6.6,4.3,,NA,NA,130,,Yes,0,no fruit,Real,132
D133,Symptomatic,8.7,5.9,,NA,NA,133,,Yes,0,no fruit,Real,133
